activity_name,category
Timber - MDF - Including Carbon Storage,Timber and Forestry Products
Residues MSWI[F]-WWT-SLF sludge from pulp and paper production (market for residues MSWI[F]-WWT-SLF sludge from pulp and paper production),Waste Management
Plastic pipe/fittings and sausage casings,Plastics and Rubber Products
Services for the elderly and persons with disabilities,Social Care
Brass removed by turning - primarily dressing - computer numerical controlled (market for brass removed by turning - primarily dressing - computer numerical controlled),Metals
Asphalt binder,Pavement and Surfacing
Monetary authorities-central bank,Financial Services
Road transport freight services,Road Freight
Pension funds,Financial Services
Wooden board factory - organic bonded boards (market for wooden board factory - organic bonded boards),Construction
Diesel oil - Euro i - heavy duty vehicles - transport,Fuel
Cast iron removed by turning - primarily dressing - computer numerical controlled (market for cast iron removed by turning - primarily dressing - computer numerical controlled),Metals
Residual hardwood - wet (market for residual hardwood - wet),Timber and Forestry Products
Investigation services,Professional Services and Activities
Travel trailer and camper manufacturing,Recreation and Culture
Wastewater from medium density board production (market for wastewater from medium density board production),Water Treatment
Relay and industrial control manufacturing,Electrical Equipment
Portafer (market for portafer),Mined Materials
Heat and power co-generation unit - 160kw electrical - components for electricity only (market for heat and power co-generation unit - 160kW electrical - components for electricity only),Construction
Residential building construction,Construction
Wood preservation facility - dipping/immersion tank (market for wood preservation facility - dipping/immersion tank),Construction
Beef,Livestock Farming
Paint and coating manufacturing,Furnishings and Household
Fluorescent lamp T8-36W,Electrical Equipment
Phosphoric acid factory - fertiliser grade (market for phosphoric acid factory - fertiliser grade),Construction
Wind turbine small-scale 6kW onshore (market for wind turbine small-scale 6kW onshore),Construction
Compressed Gases,Chemical Products
Sawnwood - azobe - dried (u=15%) - planed (market for sawnwood - azobe - dried (u=15%) - planed),Timber and Forestry Products
Residues MSWI[F] waste emulsion paint (market for residues MSWI[F] waste emulsion paint),Waste Management
Musical instrument manufacturing,Furnishings and Household
Polyether polyols long chain ISOPA (market for polyether polyols long chain ISOPA),Chemical Products
Purse seiner maintenance - steel (market for purse seiner maintenance - steel),Equipment Repair
Welding and Soldering Equipment/Scales and Balances and other general purpose machinery,Machinery
Wood (open-loop recycled source),Timber and Forestry Products
Miscanthus - chopped (market for miscanthus - chopped),Arable Farming
Retention aid - for paper production (market for retention aid - for paper production),Chemical Products
Liquefied natural gas LNG - compression ignition ship,Fuel
Warehouse clubs and supercenters,General Retail
Oil tank polyamide (1000l),Storage
Acetonitrile (market for acetonitrile),Chemical Products
Other NP fertilisers,Chemical Products
Lead/zinc and tin and products thereof,Metals
Optical instruments and lenses,Machinery
Other basic organic chemicals,Chemical Products
Shavings - hardwood - measured as dry mass (market for shavings - hardwood - measured as dry mass),Timber and Forestry Products
Residues MSWI-WWT WW from ceramic production (market for residues MSWI-WWT WW from ceramic production),Waste Management
Residues MSWI-WWT[U] WW from lorry production (market for residues MSWI-WWT[U] WW from lorry production),Waste Management
Residues MSWI[F] copper in car shredder residue (market for residues MSWI[F] copper in car shredder residue),Waste Management
Real estate services on a fee or contract basis,Real Estate
Other grantmaking and giving services,Non-profit Activities
Coal - industrial,Fuel
Bus (market for bus),Vehicles
Iron steel - other,Metals
Wearing apparel/furs,Clothing and Footwear
White lined chipboard carton (market for white lined chipboard carton),Paper and Cardboard
Lauric diethanolamide (market for lauric diethanolamide),Chemical Products
Residues MSWI residue from mechanical treatment desktop computer (market for residues MSWI residue from mechanical treatment desktop computer),Waste Management
Alpha-picoline (market for alpha-picoline),Chemical Products
Rubber,Plastics and Rubber Products
Consumer electronics and appliances rental,Consumer Goods Rental
Other vehicle parts,Vehicle Parts
Non-ionic surfactant (market for non-ionic surfactant),Chemical Products
Metal coating facility (market for metal coating facility),Construction
Breweries and beer,Food/Beverages/Tobacco
Biomethane - medium pressure - vehicle grade (market for biomethane - medium pressure - vehicle grade),Fuel
Municipal waste incineration facility (market for municipal waste incineration facility),Construction
Residues MSWI-WWT-SLF inert waste (market for residues MSWI-WWT-SLF inert waste),Waste Management
Fertilizer (mixing only) manufacturing,Recreation and Culture
Basalt (market for basalt),Mined Materials
Concrete - average UK cement replacement rate - with total cementitious content of 300 kg per m3 of concrete,Building Materials
Mine infrastructure - gold (market for mine infrastructure - gold),Construction
Kerosene (market for kerosene),Fuel
Butane,Fuel
Non-ferrous metal smelter (market for non-ferrous metal smelter),Construction
Beetroot,Arable Farming
Iceberg lettuce (market for iceberg lettuce),Arable Farming
Transformer - low voltage use (market for transformer - low voltage use),Electrical Equipment
Particleboard - uncoated (market for particleboard - uncoated),Timber and Forestry Products
Chemical products,Chemical Products
Maintenance - mini chp plant (market for maintenance - mini CHP plant),Maintenance and Repair
Residues MSWI-WWT WW from PV cell production (market for residues MSWI-WWT WW from PV cell production),Waste Management
Residues MSWI[F]-WWT-SLF waste bitumen (market for residues MSWI[F]-WWT-SLF waste bitumen),Waste Management
Confectionery and nut stores,Food/Beverages/Tobacco
Paraffin wax,Fuel
Hydrogen gaseous medium pressure merchant (market for hydrogen gaseous medium pressure merchant),Fuel
Blower and heat exchange unit - central - 600-1200 m3/h (market for blower and heat exchange unit - central - 600-1200 m3/h),Machinery
Vehicle seating and interior trim (upholstery),Vehicle Parts
Nonupholstered wood household furniture manufacturing,Furnishings and Household
Root crops/bulbs and mushrooms (fresh or chilled),Food/Beverages/Tobacco
Packing - fibre cement product (market for packing - fibre cement product),Building Materials
Wastewater from anaerobic digestion of whey (market for wastewater from anaerobic digestion of whey),Water Treatment
Independent artists/writers and performers,Recreation and Culture
Coriander (market for coriander),Arable Farming
Wood chips and particles - willow (market for wood chips and particles - willow),Timber and Forestry Products
Manual dismantling of used electric passenger car (market for manual dismantling of used electric passenger car),Waste Management
Impact extrusion of steel - cold - tempering (market for impact extrusion of steel - cold - tempering),Metals
Residues MSWI waste building wood chrome preserved (market for residues MSWI waste building wood chrome preserved),Waste Management
Orange - fresh grade (market for orange - fresh grade),Arable Farming
Waterworks engineering works,Construction
Solar collector glass tube - with silver mirror (market for solar collector glass tube - with silver mirror),Glass and Glass Products
Potassium sulfate (market for potassium sulfate),Chemical Products
Sewage sludge 70% water WWT WW from hard fibreboard production (market for sewage sludge 70% water WWT WW from hard fibreboard production),Waste Management
Aluminium - structures - other,Metals
Bottom ash MSWI[F]-WWT WW from LCD backlight production (market for bottom ash MSWI[F]-WWT WW from LCD backlight production),Waste Management
Rice farming,Arable Farming
Trawler maintenance - steel (market for trawler maintenance - steel),Equipment Repair
Bauxite and aluminum oxide,Mined Materials
Cement bound particle board,Building Materials
Sewage sludge 97% water WWT-SLF municipal solid waste (market for sewage sludge 97% water WWT-SLF municipal solid waste),Waste Management
Audio and video equipment,Electronics
Tree seedling - for planting (market for tree seedling - for planting),Timber and Forestry Products
Sewage sludge 75% water WWT[R] WW from anaerobic digestion of whey (market for sewage sludge 75% water WWT[R] WW from anaerobic digestion of whey),Waste Management
Fresh green peas unshelled (consumed raw),Arable Farming
70% blue wool serge,Textiles
Heavy water (market for heavy water),Chemical Products
Sawnwood - lath - hardwood - dried (u=20%) - planed (market for sawnwood - lath - hardwood - dried (u=20%) - planed),Timber and Forestry Products
Heat transport fluid system - solar thermal parabolic trough - 50 mw (market for heat transport fluid system - solar thermal parabolic trough - 50 MW),Construction
Inorganic phosphorus fertiliser - as p2o5 (market for inorganic phosphorus fertiliser - as P2O5),Organic Products
Concrete - 30% pfa cement replacement - with total cementitious content of 380 kg per m3 of concrete,Building Materials
Veneer and plywood,Timber and Forestry Products
Waste collection / treatment and disposal services / materials recovery services,Waste Management
Carrot (market for carrot),Arable Farming
Hydraulic pumps/motors/cylinders and actuators,Machinery
Custom computer programming,Professional Services and Activities
Landscaping services,Professional Services and Activities
Tetrafluoroethane (market for tetrafluoroethane),Chemical Products
Platinum (market for platinum),Metals
Pedestals,Building Materials
Bottom ash MSWI hard coal ash (market for bottom ash MSWI hard coal ash),Waste Management
Specialty canning,Food/Beverages/Tobacco
Ethanol - without water - in 95% solution state - from fermentation (market for ethanol - without water - in 95% solution state - from fermentation),Fuel
Custard aluminium tin,Food/Beverages/Tobacco
Bottom ash MSWI[F] waste wire plastic (market for bottom ash MSWI[F] waste wire plastic),Waste Management
Ethanol - without water - in 99.7% solution state - from fermentation - vehicle grade (market for ethanol - without water - in 99.7% solution state - from fermentation - vehicle grade),Fuel
Manufacturing structures,Construction
Formic acid (market for formic acid),Chemical Products
Nuclear fuel factory (market for nuclear fuel factory),Construction
Titania slag - 85% titanium dioxide (market for titania slag - 85% titanium dioxide),Metals
Maintenance - bus (market for maintenance - bus),Vehicles
Sodium nitrate - unrefined (market for sodium nitrate - unrefined),Chemical Products
Sodium nitrate - technical grade (market for sodium nitrate - technical grade),Chemical Products
Styrene-acrylonitrile copolymer (market for styrene-acrylonitrile copolymer),Chemical Products
Sunflower silage (market for sunflower silage),Arable Farming
Pipeline transportation of crude oil,Infrastructure
Cabbage red (market for cabbage red),Arable Farming
Fresh fruit and nuts,Arable Farming
Maintenance - intermodal shipping container - 45-foot - high-cube (market for maintenance - intermodal shipping container - 45-foot - high-cube),Vehicles
Residues MSWI residue from mechanical treatment laser printer (market for residues MSWI residue from mechanical treatment laser printer),Waste Management
Other educational services provided by governments,Education
Residues MSWI-WWT-SLF waste plastic mixture (market for residues MSWI-WWT-SLF waste plastic mixture),Waste Management
Cement - alternative constituents 45% (market for cement - alternative constituents 45%),Building Materials
News agency/library and archive services,Information and Communication Services
"2,4-dinitrotoluene (market for 2,4-dinitrotoluene)",Chemical Products
Financial transactions processing/reserve and clearinghouse activities,Financial Services
Iron steel - tubes pipes hollow profiles cold-rolled annealed flat,Metals
Solvents: mineral turpentine or white spirits,Fuel
Blast oxygen furnace converter (market for blast oxygen furnace converter),Construction
Aircraft - belly freight - very short haul (market for aircraft - belly freight - very short haul),Vehicles
Sawnwood - board - softwood - dried (u=20%) - planed (market for sawnwood - board - softwood - dried (u=20%) - planed),Timber and Forestry Products
Armored car services,Professional Services and Activities
Other miscellaneous nondurable goods merchant wholesalers,Wholesale Trade
Residual material landfill (market for residual material landfill),Construction
Motor home manufacturing,Vehicles
Hexane (market for hexane),Fuel
Beans french and runner,Arable Farming
Ammonium nitrate,Chemical Products
Housing system - pig - fully-slatted floor - per pig place (market for housing system - pig - fully-slatted floor - per pig place),Construction
Audio-visual equipment,Electronics
Acetoacetic acid (market for acetoacetic acid),Chemical Products
Hydraulic fracturing fluid (market for hydraulic fracturing fluid),Chemical Products
Photovoltaic panel factory (market for photovoltaic panel factory),Construction
Articles for personal hygiene,Personal Care and Accessories
Other rubber products,Plastics and Rubber Products
Other technical and trade schools,Education
Glass fibre reinforced plastic - polyester resin - hand lay-up (market for glass fibre reinforced plastic - polyester resin - hand lay-up),Chemical Products
Aerated concrete P2 04 non-reinforced,Building Materials
Cyanuric chloride (market for cyanuric chloride),Chemical Products
Hydrogen fuel - proton exchange membraneelectrolysis cells,Fuel
Diesel oil,Fuel
Impact extrusion of steel - hot - 3 strokes (market for impact extrusion of steel - hot - 3 strokes),Metals
Residential remodelers,Maintenance and Repair
Truss manufacturing,Furnishings and Household
Folding boxboard carton (market for folding boxboard carton),Paper and Cardboard
Cement - blast furnace slag 70-100% (market for cement - blast furnace slag 70-100%),Building Materials
Other specialized design services,Professional Services and Activities
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 460 kg per m3 of concrete,Building Materials
Cannabis plants / seeds and flowering tops,Arable Farming
Structural timber (market for structural timber),Timber and Forestry Products
Fibre - viscose (market for fibre - viscose),Textiles
Carpets,Textiles
Ryegrass-egyptian&persian clover-mixture silage (market for ryegrass-Egyptian&Persian clover-mixture silage),Arable Farming
Carbon dioxide - liquid (market for carbon dioxide - liquid),Chemical Products
Vehicle insurance services,Insurance Services
Sox retained - in hard coal flue gas desulfurisation (market for SOx retained - in hard coal flue gas desulfurisation),Chemical Products
Other engine and power transmission equipment,Machinery
Conveyor and conveying equipment manufacturing,Machinery
Other aboriginal government services,Government Activities
Mutual funds (cost of service) and other similar services,Financial Services
Photovoltaic slanted-roof installation - 3kwp - a-si - laminated - integrated - on roof (market for photovoltaic slanted-roof installation - 3kWp - a-Si - laminated - integrated - on roof),Construction
Renewable petrol,Fuel
Whiteboard,Furnishings and Household
Artichokes,Arable Farming
Cement cast plaster floor (market for cement cast plaster floor),Building Materials
Linseed seed - at farm (market for linseed seed - at farm),Arable Farming
Polysulfide - sealing compound (market for polysulfide - sealing compound),Chemical Products
Harvesting use of harvesting cart (market for harvesting use of harvesting cart),Machinery
Amusement and recreational services,Recreation and Culture
Directory/mailing list and other publishers,Recreation and Culture
Metal household furniture manufacturing,Furnishings and Household
Propulsion units and parts for space vehicles and guided missiles,Vehicle Parts
Wastewater from liquid crystal display production (market for wastewater from liquid crystal display production),Water Treatment
Concrete PAV2 with 40% PFA cement,Building Materials
O-cresol (market for o-cresol),Chemical Products
Concrete PAV2 with 50% GGBS cement,Building Materials
Pastry-cook products,Food/Beverages/Tobacco
Other gasoline stations,General Retail
Polish and other sanitation good manufacturing,Furnishings and Household
All other petroleum and coal products manufacturing,Fuel
Polystyrene - high impact (market for polystyrene - high impact),Chemical Products
Vehicle electrical and electronic equipment,Vehicle Parts
All other retail,General Retail
Bottom ash MSWI waste rubber unspecified (market for bottom ash MSWI waste rubber unspecified),Waste Management
Foam products (except for construction),Plastics and Rubber Products
Bottom ash MSWI-WWT WW from medium density board production (market for bottom ash MSWI-WWT WW from medium density board production),Waste Management
Secondary smelting/refining and alloying of nonferrous metal (except copper and aluminum),Metals
Palm kernel meal (market for palm kernel meal),Arable Farming
Concrete - 40% pfa cement replacement - with total cementitious content of 180 kg per m3 of concrete,Building Materials
Shoe stores,Clothing and Footwear
Residues MSWI[F] scrap tin sheet (market for residues MSWI[F] scrap tin sheet),Waste Management
Benzal chloride (market for benzal chloride),Chemical Products
Sawnwood - beam - softwood - raw - dried (u=20%) (market for sawnwood - beam - softwood - raw - dried (u=20%)),Timber and Forestry Products
Olives,Arable Farming
Wood preservation - oscillating pressure method - organic salt - cr-free - outdoor use - ground contact (market for wood preservation - oscillating pressure method - organic salt - Cr-free - outdoor use - ground contact),Timber and Forestry Products
Section bar extrusion - aluminium (market for section bar extrusion - aluminium),Metals
Residues MSWI residue from mechanical treatment industrial device (market for residues MSWI residue from mechanical treatment industrial device),Waste Management
Other similar organizations (except business/professional/labor and political organizations),Operational Activities
Services for property alterations/additions and improvements,Maintenance and Repair
Concrete block - solid - high density - average strength - 75 mm thickness - 440 mm length - 215 mm width,Building Materials
Bitumen emulsion,Pavement and Surfacing
Concrete block - solid - high density - average strength - 190 mm thickness - 440 mm length - 215 mm width,Building Materials
Cows cheese PE tray with PE film,Food/Beverages/Tobacco
Sales and trade-ins of personal effects nec,Personal Care and Accessories
Cast iron removed by turning - average - conventional (market for cast iron removed by turning - average - conventional),Metals
Wool/silkworm cocoons,Livestock Farming
Orange juice PET bottle with PP lid,Food/Beverages/Tobacco
Timber - Laminate - No Carbon Storage,Timber and Forestry Products
Lime from liquid packaging board production (market for lime from liquid packaging board production),Paper and Cardboard
Other chemical and allied products merchant wholesalers,Wholesale Trade
Cerium oxide (market for cerium oxide),Metals
Rental and leasing services,Professional Services and Activities
Cement CEM II/A-V (market for cement CEM II/A-V),Building Materials
Inductor - ring core choke type (market for inductor - ring core choke type),Electronics
Almonds,Arable Farming
Ethylenediamine (market for ethylenediamine),Chemical Products
Iron steel - railway tramway track,Metals
Diethylene glycol (market for diethylene glycol),Chemical Products
Zinc scrap - post-consumer (market for zinc scrap - post-consumer),Waste Management
Commercial bakeries,Food/Beverages/Tobacco
Industrial truck/tractor/trailer and stacker machinery manufacturing,Machinery
Commercial equipment rental,Equipment Rental
Remediation services,Waste Management
Salami PE tray with PE film,Food/Beverages/Tobacco
Rice LDPE bag,Food/Beverages/Tobacco
Hot water tank - 600l (market for hot water tank - 600l),Storage
Kaolin and ball clay mining,Mined Materials
All other legal services,Professional Services and Activities
Packaging machinery,Machinery
Wood preservative - water-based - indoor use - dry (market for wood preservative - water-based - indoor use - dry),Chemical Products
Cement - unspecified (market group for cement - unspecified),Building Materials
Phenol (market for phenol),Chemical Products
Services of households as employers of domestic personnel,Domestic Services
Storage batteries,Electrical Equipment
Photovoltaic plant - 570kwp - multi-si - on open ground (market for photovoltaic plant - 570kWp - multi-Si - on open ground),Construction
Rye,Arable Farming
Gambling and betting services,Recreation and Culture
Overhead traveling crane/hoist and monorail system manufacturing,Machinery
Planning - cogen unit mini chp plant (market for planning - cogen unit mini CHP plant),Construction
Steel - unalloyed (market for steel - unalloyed),Metals
Zircon (market for zircon),Metals
Ferromanganese - high-coal - 74.5% mn (market for ferromanganese - high-coal - 74.5% Mn),Metals
Aluminum sheet/plate and foil manufacturing,Metals
Computer and related services,Professional Services and Activities
Sewage sludge 97% water WWT WW from concrete production (market for sewage sludge 97% water WWT WW from concrete production),Waste Management
Drinking water pipe PEX,Plastics and Rubber Products
Crustaceans,Fishing/Aquaculture/Hunting
Potato starch (market for potato starch),Arable Farming
Dry-cleaning and laundry,Clothing and Footwear
Automobile and other motor vehicle merchant wholesalers,Wholesale Trade
Iron and steel basic shapes and ferro-alloy products,Metals
Casting - aluminium - lost-wax (market for casting - aluminium - lost-wax),Metals
Solid wood panels,Timber and Forestry Products
Broadcasting/programming and programme distribution services,Recreation and Culture
Waste wood - post-consumer (market for waste wood - post-consumer),Waste Management
Anthracite mining,Mining
Electric motor - for electric scooter (market for electric motor - for electric scooter),Vehicle Parts
Aerated concrete granulate,Building Materials
Benzimidazole-compound (market for benzimidazole-compound),Chemical Products
Activated silica (market for activated silica),Chemical Products
Oil seeds,Arable Farming
Newspapers and magazines,Recreation and Culture
Trichloroborane (market for trichloroborane),Chemical Products
Resistor - auxilliaries and energy use (market for resistor - auxilliaries and energy use),Electronics
Oil tank HDPE (1500l),Storage
"Tris(2,4-ditert-butylphenyl) phosphite (market for tris(2,4-ditert-butylphenyl) phosphite)",Chemical Products
Cyclohexane (market for cyclohexane),Chemical Products
Maize seed - swiss integrated production - for sowing (market for maize seed - Swiss integrated production - for sowing),Arable Farming
Tetraethyl orthosilicate (market for tetraethyl orthosilicate),Chemical Products
Sewage sludge 70% water WWT-SLF waste packaging paper (market for sewage sludge 70% water WWT-SLF waste packaging paper),Waste Management
Microwave oven (market for microwave oven),Electrical Equipment
General-purpose masonry mortal,Building Materials
Constructural precast parts,Building Materials
Iron non-alloy steel - hot-rolled drawn extruded - bars rods long,Metals
Titanium - triple-melt (market for titanium - triple-melt),Metals
Heat pump - brine-water - 10kw (market for heat pump - brine-water - 10kW),Electrical Equipment
Licensing services for the right to use computer software and databases,Information and Communication Services
Elevator and moving stairway manufacturing,Machinery
Asphalt - 6% binder content,Building Materials
Oil tank HDPE (1000l),Storage
Sugar,Food/Beverages/Tobacco
Liquid crystal display - minor components - auxilliaries and assembly effort (market for liquid crystal display - minor components - auxilliaries and assembly effort),Electronics
Lettuce strawberries and tomatoes,Arable Farming
Sugar beet seed - for sowing (market for sugar beet seed - for sowing),Arable Farming
Fishmeal - 65-67% protein (market for fishmeal - 65-67% protein),Fishing/Aquaculture/Hunting
Stainless steel long product,Fabricated Metal Products
Oriented strand board (market for oriented strand board),Timber and Forestry Products
Concrete RC28/35 with 35% natural pozzolanic ash cement,Building Materials
Constructions and construction works for civil engineering,Construction
Primary iron/steel and ferroalloy products,Metals
Dimethyldichlorosilane (market for dimethyldichlorosilane),Chemical Products
Wholesale electronic markets and agents and brokers,Wholesale Trade
Cotton t-shirt,Clothing and Footwear
Anaerobic digestion plant - agriculture - with methane recovery (market for anaerobic digestion plant - agriculture - with methane recovery),Construction
Bicycle tire,Vehicle Parts
Bottom ash MSWI residue from mechanical treatment laser printer (market for bottom ash MSWI residue from mechanical treatment laser printer),Waste Management
Agricultural machinery - tillage (market for agricultural machinery - tillage),Machinery
Bacon/ham and smallgood products,Food/Beverages/Tobacco
Iron non-alloy steel - flat-rolled <600mm hot-rolled,Metals
Soy-milk,Food/Beverages/Tobacco
Pipework for electric heat pump (brine-water geothermal collector) 20kW,Construction
Sodium methoxide (market for sodium methoxide),Chemical Products
"2,4-dichlorotoluene (market for 2,4-dichlorotoluene)",Chemical Products
Heat and power co-generation unit - organic rankine cycle - 1400kw thermal - common components - heat+electricity (market for heat and power co-generation unit - organic Rankine cycle - 1400kW thermal - common components - heat+electricity),Construction
Natural gas - liquefied (market for natural gas - liquefied),Fuel
Sodium bicarbonate (market for sodium bicarbonate),Chemical Products
Electric socket,Electrical Equipment
Vinyl acetate (market for vinyl acetate),Chemical Products
Maintenance of transport machinery and equipment,Vehicle Maintenance and Services
Medical/precision and optical instruments/watches and clocks,Electrical Equipment
Private household services (except babysitting),Domestic Services
Wood chips - from post-consumer wood - measured as dry mass (market for wood chips - from post-consumer wood - measured as dry mass),Timber and Forestry Products
Sewage sludge 70% water WWT WW from glass production (market for sewage sludge 70% water WWT WW from glass production),Waste Management
Chromium steel removed by milling - large parts (market for chromium steel removed by milling - large parts),Metals
Tractor - 4-wheel - agricultural (market for tractor - 4-wheel - agricultural),Machinery
Steel - global seamless tube,Metals
Inorganic nitrogen fertiliser - as n (market for inorganic nitrogen fertiliser - as N),Arable Farming
Plastic waste for treatment: incineration,Waste Management
Dust collector - multicyclone (market for dust collector - multicyclone),Electrical Equipment
Other cultural services,Recreation and Culture
Residues MSWI[F] residue from mechanical treatment desktop computer (market for residues MSWI[F] residue from mechanical treatment desktop computer),Waste Management
Aluminium - South Korea,Metals
Furnace - wood chips - with silo - 50kw (market for furnace - wood chips - with silo - 50kW),Machinery
Bottom ash MSWI[F] waste expanded polystyrene (market for bottom ash MSWI[F] waste expanded polystyrene),Waste Management
"1,1-difluoroethane (market for 1,1-difluoroethane)",Chemical Products
Residues MSWI[F] waste textile soiled (market for residues MSWI[F] waste textile soiled),Waste Management
Printing support,Recreation and Culture
Soil preparation/planting and cultivating,Agriculture/Hunting/Forestry/Fishing
Aluminium foil - European Mix - Inc Imports,Metals
Timber - OSB - No Carbon Storage,Timber and Forestry Products
Wood preservation - vacuum pressure method - organic salts - cr-free - outdoor use - ground contact (market for wood preservation - vacuum pressure method - organic salts - Cr-free - outdoor use - ground contact),Timber and Forestry Products
Steel - hollow bars rods long,Metals
Formaldehyde (market for formaldehyde),Chemical Products
Building - budget hotel (market for building - budget hotel),Construction
Electric heat pump (brine-water geothermal collector) 20kW,Electrical Equipment
Maintenance - lorry 28 metric ton (market for maintenance - lorry 28 metric ton),Vehicles
Activated bentonite (market for activated bentonite),Chemical Products
Orange - processing grade (market for orange - processing grade),Arable Farming
Acetone cyanohydrin (market for acetone cyanohydrin),Chemical Products
Wastewater from hard fibreboard production (market for wastewater from hard fibreboard production),Water Treatment
Polarizer - liquid crystals and colour filters - for liquid crystal display (market for polarizer - liquid crystals and colour filters - for liquid crystal display),Electronics
Perfumes and toiletries,Personal Care and Accessories
Nonferrous metal (except aluminum) smelting and refining,Metals
Oil low temperature boiler 120-400kW (upright unit),Electrical Equipment
Non-residential building construction,Construction
Cathode - nmc811 - for li-ion battery (market for cathode - NMC811 - for Li-ion battery),Electronics
2-nitroaniline (market for 2-nitroaniline),Chemical Products
Bottom ash MSWI[F] residue from shredder fraction from manual dismantling (market for bottom ash MSWI[F] residue from shredder fraction from manual dismantling),Waste Management
Zinc sulfide (market for zinc sulfide),Chemical Products
All other miscellaneous crop farming,Arable Farming
Benzoic acid (market for benzoic acid),Chemical Products
Barley grain - swiss integrated production (market for barley grain - Swiss integrated production),Arable Farming
Tram (market for tram),Vehicles
Sawlog and veneer log - meranti - measured as solid wood under bark (market for sawlog and veneer log - meranti - measured as solid wood under bark),Timber and Forestry Products
Asphalt supporting layer,Pavement and Surfacing
Glass bricks,Glass and Glass Products
Timber - Laminated strand lumber - No Carbon Storage,Timber and Forestry Products
O-chlorobenzaldehyde (market for o-chlorobenzaldehyde),Chemical Products
Clothing accessories stores,Clothing and Footwear
Finishing - textile - woven cotton (market for finishing - textile - woven cotton),Textiles
Wood preservation - hot/cold dipping - creosote - outdoor use - ground contact (market for wood preservation - hot/cold dipping - creosote - outdoor use - ground contact),Timber and Forestry Products
Hotels and campgrounds,Accommodation
Argon - crude - liquid (market for argon - crude - liquid),Chemical Products
Stainless steel - angles shapes sections forgings,Metals
Poultry and poultry product merchant wholesalers,Wholesale Trade
Oat grain (market for oat grain),Arable Farming
Sewage sludge 97% water WWT WW from PV cell production (market for sewage sludge 97% water WWT WW from PV cell production),Waste Management
Deep drawing - steel - 3500 kn press - single stroke (market for deep drawing - steel - 3500 kN press - single stroke),Metals
Maize silage (market for maize silage),Arable Farming
Sodium sulfate - anhydrite (market for sodium sulfate - anhydrite),Chemical Products
Cream - from cow milk (market for cream - from cow milk),Livestock Farming
Frozen green asparagus,Arable Farming
Natural gas - medium pressure - vehicle grade (market for natural gas - medium pressure - vehicle grade),Fuel
Lignite (market for lignite),Fuel
Mango seedling - for planting (market for mango seedling - for planting),Arable Farming
Linen supply,Clothing and Footwear
Frozen food,Food/Beverages/Tobacco
Methyl-3-methoxypropionate (market for methyl-3-methoxypropionate),Chemical Products
Mineral wool,Other Materials
Wood (closed-loop recycled source),Timber and Forestry Products
Other personal services,Social Care
Bottom ash MSWI[F] waste textile soiled (market for bottom ash MSWI[F] waste textile soiled),Waste Management
Magnesium factory (market for magnesium factory),Construction
Food additives nec,Food/Beverages/Tobacco
Interest payments on personal loans,Financial Services
All other miscellaneous food manufacturing,Food/Beverages/Tobacco
Polyvinylfluoride - dispersion (market for polyvinylfluoride - dispersion),Chemical Products
Support services for animal production / hunting and fishing,Agriculture/Hunting/Forestry/Fishing
Sewage sludge 97% water WWT-SLF waste polyethylene (market for sewage sludge 97% water WWT-SLF waste polyethylene),Waste Management
Concrete GEN1 with 70% GGBS cement,Building Materials
Bread,Food/Beverages/Tobacco
Maize grain (market group for maize grain),Arable Farming
Mastic asphalt,Mined Materials
Motor vehicles/trailers and semi-trailers,Vehicles
Sewage sludge 75% water WWT WW from soft fibreboard production (market for sewage sludge 75% water WWT WW from soft fibreboard production),Waste Management
Rigid PUR foam,Plastics and Rubber Products
Health and accident insurance services,Insurance Services
Burning oil,Fuel
Nonferrous metal die-casting foundries,Metals
Aluminium - foil,Metals
Polystyrene - general purpose (market for polystyrene - general purpose),Chemical Products
Stainless steel - wood self-tapping screws,Metals
Raw furskins and animal products,Livestock Farming
Avocado (market for avocado),Arable Farming
Gas low temperature boiler <20kW (upright unit),Electrical Equipment
Clay and ceramic products and refractories,Ceramic Goods
Sugar beet pulp (market for sugar beet pulp),Arable Farming
Vinasse - from fermentation of sugarcane (market for vinasse - from fermentation of sugarcane),Arable Farming
Glass - sky light or roof - with frame - per kg,Glass and Glass Products
Fava bean - organic (market for fava bean - organic),Arable Farming
Aircraft - dedicated freight - medium haul (market for aircraft - dedicated freight - medium haul),Vehicles
Nonresidential maintenance and repair,Maintenance and Repair
Chloromethyl methyl ether (market for chloromethyl methyl ether),Chemical Products
Alloy steel - flat-rolled <600mm hot-rolled,Metals
Butane (market for butane),Chemical Products
Aluminium extruded profile - European Mix - Inc Imports,Metals
Explosives manufacturing,Chemical Products
Broom/brush and mop manufacturing,Furnishings and Household
Bottom ash MSWI-WWT WW from grass refinery (market for bottom ash MSWI-WWT WW from grass refinery),Waste Management
Concrete normal strength (market group for concrete normal strength),Building Materials
Health and personal care stores,Health Care
Cement CEM II/B-S (market for cement CEM II/B-S),Building Materials
Malt manufacturing,Food/Beverages/Tobacco
Chocolate,Food/Beverages/Tobacco
Assembly of generator and motor - auxilliaries and energy use - for mini chp plant (market for assembly of generator and motor - auxilliaries and energy use - for mini CHP plant),Maintenance and Repair
Lemon (market for lemon),Arable Farming
Family planning centers,Health Care
Oil condensing boiler 120-400kW (upright unit),Electrical Equipment
